X,Y,Z,Roll,Pitch,Yaw
-0.0014364,-0.0009184,-0.0035199,24.1517944,150.8230591,39.8435287
-0.0007798,0.0009916,-0.0027849,118.1697617,-1.5068328,-139.0923004
-0.0002458,0.0016030,-0.0048075,31.9019318,-2.4420066,-170.5772400
-0.0008781,-0.0003633,-0.0055719,127.2843094,152.6251068,1.6259481
-0.0013705,-0.0009975,-0.0035138,24.1488037,150.0101624,37.2348022
-0.0007241,0.0010107,-0.0027650,118.6622467,-1.8093609,-141.5099792
-0.0007851,0.0009903,-0.0027889,118.2078705,-1.3040220,-138.4318390
-0.0002357,0.0016027,-0.0048115,31.9008942,-2.9924712,-170.0747375
-0.0008540,-0.0003719,-0.0055816,127.3419952,153.2647400,1.6546636
-0.0013660,-0.0010041,-0.0035220,24.2863216,149.7044678,37.3478241
-0.0007269,0.0010061,-0.0027687,118.7115021,-1.6287180,-140.7937775
-0.0001624,0.0015693,-0.0048288,30.3217983,-8.1002388,-171.8359833
-0.0008108,-0.0003976,-0.0055701,126.3595428,156.1297913,3.9999070
-0.0014221,-0.0009452,-0.0035514,24.8616695,149.8893738,38.9822655
-0.0007806,0.0009809,-0.0027917,118.3950500,-1.1200619,-137.6380310
-0.0002110,0.0016017,-0.0048141,31.9223785,-3.8984454,-169.3500366
-0.0008231,-0.0003756,-0.0055991,127.7424088,154.0576782,0.7077700
-0.0008091,-0.0003932,-0.0055819,126.6083221,156.3872375,3.5765467
-0.0014395,-0.0009439,-0.0035686,25.0642681,149.2257233,38.4868927
-0.0008075,0.0009819,-0.0028003,118.3900986,-0.5782277,-137.3211365
-0.0002097,0.0016033,-0.0048160,31.9981518,-4.2733221,-169.0179901
-0.0007992,-0.0003823,-0.0056073,127.8550491,154.6740112,0.4200795
-0.0013581,-0.0010244,-0.0035544,24.9555302,148.7838135,36.1482964
